"","X","X_lga_id","zone","state","lga","num_preprimary_level","num_preprimary_primary_level","num_primary_level","num_primary_js_level","num_js_level","num_js_ss_level","num_ss_level","num_primary_js_ss_level","num_other_level","student_teacher_ratio_lga","proportion_teachers_nce","number_classrooms_need_major_repair","proportion_schools_1kmplus_catchment_primary","proportion_schools_1kmplus_catchment_juniorsec","proportion_schools_1kmplus_ss","proportion_students_3kmplus_primary","proportion_students_3kmplus_juniorsec","primary_school_pupil_teachers_ratio_lga","junior_secondary_school_pupil_teachers_ratio_lga","teacher_nonteachingstaff_ratio_lga_primary","teacher_nonteachingstaff_ratio_lga_juniorsec","proportion_teachers_nce_primary","proportion_teachers_nce_juniorsec","proportion_teachers_training_last_year_primary","proportion_teachers_training_last_year_juniorsec","proportion_schools_power_access_primary","proportion_schools_power_access_juniorsec","proportion_classrooms_need_major_repair_primary","proportion_classrooms_need_major_repair_juniorsec","proportion_classrooms_need_minor_repair_primary","proportion_classrooms_need_minor_repair_juniorsec","proportion_schools_covered_roof_good_cond_primary","proportion_schools_covered_roof_good_cond_juniorsec","num_textbooks_per_pupil_primary","num_textbooks_per_pupil_juniorsec","proportion_provide_exercise_books_primary","proportion_provide_exercise_books_juniorsec","proportion_provide_pens_pencils_primary","proportion_provide_pens_pencils_juniorsec","proportion_natl_curriculum_primary","proportion_natl_curriculum_juniorsec","proportion_teachers_with_teacher_guide_primary","proportion_teachers_with_teacher_guide_juniorsec","proportion_schools_functioning_library_primary","proportion_schools_functioning_library_juniorsec","num_primary_schools","num_junior_secondary_schools","num_senior_secondary_schools","num_schools","proportion_schools_with_clinic_dispensary_primary","proportion_schools_with_clinic_dispensary_juniorsec","proportion_schools_with_first_aid_kit_primary","proportion_schools_with_first_aid_kit_juniorsec","proportion_schools_fence_good_cond_primary","proportion_schools_fence_good_cond_juniorsec","proportion_schools_potable_water_primary","proportion_schools_potable_water_juniorsec","proportion_schools_improved_sanitation_primary","proportion_schools_improved_sanitation_juniorsec","proportion_schools_gender_sep_toilet_primary","proportion_schools_gender_sep_toilet_juniorsec","pupil_toilet_ratio_primary","pupil_toilet_ratio_secondary","proportion_schools_chalkboard_all_rooms_primary","proportion_schools_chalkboard_all_rooms_juniorsec","pupil_bench_ratio_lga_primary","pupil_bench_ratio_lga_juniorsec","pupil_desk_ratio_lga_primary","pupil_desk_ratio_lga_juniorsec","proportion_schools_delay_pay_primary","proportion_schools_delay_pay_juniorsec","proportion_schools_missed_pay_primary","proportion_schools_missed_pay_juniorsec","student_classroom_ratio_lga_primary","student_classroom_ratio_lga_juniorsec","proportion_schools_hold_classes_outside_primary","proportion_schools_hold_classes_outside_juniorsec","proportion_schools_two_shifts_primary","proportion_schools_two_shifts_juniorsec","proportion_schools_multigrade_classrooms_primary","proportion_schools_multigrade_classrooms_juniorsec"
"1",1,309,"Southeast","Enugu","Igbo Eze - North",5,112,16,0,4,29,1,1,1,37.1450381679389,0.673575129533679,564,0.410852713178295,0.483870967741935,0.409448818897638,0.3671875,0.575757575757576,49.0944350758853,22.3067632850242,19.6065573770492,5.75,0.759966777408638,0.572463768115942,0.302325581395349,0.219806763285024,0.0465116279069767,0.303030303030303,0.387596899224806,0.49238578680203,0.252491694352159,0.266497461928934,0.178294573643411,0.212121212121212,0.945787940460513,0.193063100710405,0,0,0,0,0.48062015503876,0.575757575757576,0.248062015503876,0.484848484848485,0.062015503875969,0.242424242424242,129,33,1,169,0.00775193798449612,0,0.186046511627907,0.424242424242424,0.00775193798449612,0.0303030303030303,0.263565891472868,0.272727272727273,0.310077519379845,0.757575757575758,0.195652173913043,0.346153846153846,510.754385964912,230.875,0.134920634920635,0.333333333333333,11.7890261186475,3.3357413761965,9.93448217027811,2.85471406491499,0.286821705426357,0.0909090909090909,0.0155038759689922,0,63.7302996670366,46.8781725888325,0.395348837209302,0.121212121212121,0.0232558139534884,0.0606060606060606,0.426356589147287,0.363636363636364
"2",2,310,"Southeast","Enugu","Igbo-Eze South",0,48,8,0,0,16,0,0,0,21.8038698328936,0.645558487247142,282,0.303571428571429,0.4375,0.509090909090909,0.357142857142857,0.6875,27.3666146645866,14.6149193548387,71.2222222222222,7.75,0.761310452418097,0.495967741935484,0.28393135725429,0.0907258064516129,0.0892857142857143,0.3125,0.419161676646707,0.310344827586207,0.239520958083832,0.185344827586207,0.160714285714286,0.125,1.49019733881854,0.290108980549041,0.0357142857142857,0,0.0178571428571429,0,0.410714285714286,0.5625,0.160714285714286,0.375,0.0357142857142857,0.3125,56,16,0,74,0,0,0.142857142857143,0.5,0.0357142857142857,0,0.232142857142857,0.25,0.303571428571429,0.625,0.19047619047619,0.153846153846154,313.25,185.871794871795,0.0892857142857143,0.375,13.9001584786054,7.60650577124869,9.31598513011152,8.218820861678,0.446428571428571,0.25,0.0178571428571429,0.125,35.0139720558882,31.2456896551724,0.285714285714286,0.125,0.0357142857142857,0,0.375,0.0625
"3",3,541,"Southeast","Enugu","Nsukka",8,50,6,0,2,13,0,5,0,19.8022165387894,0.563953488372093,371,0.409836065573771,0.2,0.5,0.524590163934426,0.666666666666667,22.9376899696049,16.2448979591837,6.625,6.48529411764706,0.65021770682148,0.396825396825397,0.336719883889695,0.498866213151927,0.147540983606557,0.6,0.463894967177243,0.475,0.148387096774194,0.195833333333333,0.147540983606557,0.266666666666667,0.465943250971479,0.155045474231269,0,0,0,0,0.672131147540984,0.866666666666667,0.426229508196721,0.666666666666667,0.213114754098361,0.533333333333333,61,15,0,127,0,0,0.245901639344262,0.466666666666667,0.0819672131147541,0.133333333333333,0.0819672131147541,0.266666666666667,0.327868852459016,0.6,0.269230769230769,0.6,221.955882352941,149.25,0.517241379310345,0.466666666666667,7.48289538919187,1.96867271228359,4.08913573557302,1.57971334068357,0.533333333333333,0.133333333333333,0.0508474576271186,0,32.1075268817204,29.85,0.180327868852459,0.0666666666666667,0.0163934426229508,0,0.344262295081967,0.266666666666667
"4",4,715,"Southeast","Enugu","Udenu",3,79,4,0,2,19,0,2,3,18.2836637047163,0.658838071693449,687,0.258823529411765,0.333333333333333,0.2875,0.216867469879518,0.473684210526316,19.7067757009346,16.3201506591337,13.75,5.1965811965812,0.739571589627959,0.569078947368421,0.232243517474634,0.248355263157895,0.117647058823529,0.476190476190476,0.594033722438392,0.623762376237624,0.260237780713342,0.115511551155116,0.0588235294117647,0.142857142857143,1.5038351822504,0.08759546401296,0,0,0.0117647058823529,0,0.376470588235294,0.619047619047619,0.270588235294118,0.428571428571429,0.0823529411764706,0.380952380952381,85,21,0,112,0,0,0.658823529411765,0.333333333333333,0.0117647058823529,0,0.0941176470588235,0.0476190476190476,0.235294117647059,0.476190476190476,0.392857142857143,0.454545454545455,205.719512195122,279.548387096774,0.0714285714285714,0.35,10.3490797546012,1.63017306245297,7.31843817787419,1.4440926512248,0.30952380952381,0.0952380952380952,0.0476190476190476,0,22.492,32.0962962962963,0.188235294117647,0.0476190476190476,0.0470588235294118,0,0.482352941176471,0.0952380952380952
"5",5,739,"Southeast","Enugu","Uzo Uwani",2,48,6,0,1,13,0,1,1,26.7389659520807,0.709962168978562,176,0.0545454545454545,0.571428571428571,0.283018867924528,0.127272727272727,0.5,31.1717171717172,18.1653846153846,6.6,4.33333333333333,0.828282828282828,0.476923076923077,0.426262626262626,0.2,0,0.214285714285714,0.412751677852349,0.330578512396694,0.316151202749141,0.347107438016529,0.0181818181818182,0.142857142857143,1.82971674672851,0.565868263473054,0.0181818181818182,0,0.0363636363636364,0,0.218181818181818,0.571428571428571,0.127272727272727,0.428571428571429,0.163636363636364,0.214285714285714,55,14,0,72,0.0181818181818182,0,0.0181818181818182,0.142857142857143,0,0,0.0363636363636364,0.142857142857143,0.0909090909090909,0.214285714285714,0.6,0.5,328.297872340426,224.904761904762,0.0363636363636364,0.285714285714286,10,7.28858024691358,5.9968907889623,3.22169167803547,0.425925925925926,0.153846153846154,0.0181818181818182,0,51.7785234899329,39.0330578512397,0.0909090909090909,0.142857142857143,0,0,0.763636363636364,0.214285714285714
