"lga_id","schools_pri_junsec_total","classrooms_total","schools_func_potable_water","schools_improved_sanit","benches_school_ratio","benches_pupil_ratio","desks_school_ratio","desks_pupil_ratio","teachers_total","teachers_qualified","teachers_attended_training","txt_pupil_ratio","percent_teaching_guides","schools_use_teaching_aids","num_primary_schools","num_junior_secondary_schools","num_senior_secondary_schools","num_schools","proportion_schools_1kmplus_catchment_primary","proportion_schools_1kmplus_catchment_juniorsec","proportion_schools_1kmplus_ss","proportion_students_3kmplus_primary","proportion_students_3kmplus_juniorsec","proportion_schools_potable_water_primary","proportion_schools_potable_water_juniorsec","proportion_schools_improved_sanitation_primary","proportion_schools_improved_sanitation_juniorsec","proportion_schools_gender_sep_toilet_primary","proportion_schools_gender_sep_toilet_juniorsec","pupil_toilet_ratio_primary","pupil_toilet_ratio_secondary","proportion_schools_power_access_primary","proportion_schools_power_access_juniorsec","proportion_classrooms_need_major_repair_primary","proportion_classrooms_need_major_repair_juniorsec","proportion_classrooms_need_minor_repair_primary","proportion_classrooms_need_minor_repair_juniorsec","proportion_schools_covered_roof_good_cond_primary","proportion_schools_covered_roof_good_cond_juniorsec","proportion_schools_with_clinic_dispensary_primary","proportion_schools_with_clinic_dispensary_juniorsec","proportion_schools_with_first_aid_kit_primary","proportion_schools_with_first_aid_kit_juniorsec","proportion_schools_fence_good_cond_primary","proportion_schools_fence_good_cond_juniorsec","student_classroom_ratio_lga_primary","student_classroom_ratio_lga_juniorsec","proportion_schools_hold_classes_outside_primary","proportion_schools_hold_classes_outside_juniorsec","proportion_schools_two_shifts_primary","proportion_schools_two_shifts_juniorsec","proportion_schools_multigrade_classrooms_primary","proportion_schools_multigrade_classrooms_juniorsec","proportion_schools_chalkboard_all_rooms_primary","proportion_schools_chalkboard_all_rooms_juniorsec","pupil_bench_ratio_lga_primary","pupil_bench_ratio_lga_juniorsec","pupil_desk_ratio_lga_primary","pupil_desk_ratio_lga_juniorsec","primary_school_pupil_teachers_ratio_lga","junior_secondary_school_pupil_teachers_ratio_lga","teacher_nonteachingstaff_ratio_lga_primary","teacher_nonteachingstaff_ratio_lga_juniorsec","proportion_teachers_nce_primary","proportion_teachers_nce_juniorsec","proportion_teachers_training_last_year_primary","proportion_teachers_training_last_year_juniorsec","proportion_schools_delay_pay_primary","proportion_schools_delay_pay_juniorsec","proportion_schools_missed_pay_primary","proportion_schools_missed_pay_juniorsec","num_textbooks_per_pupil_primary","num_textbooks_per_pupil_juniorsec","proportion_provide_exercise_books_primary","proportion_provide_exercise_books_juniorsec","proportion_provide_pens_pencils_primary","proportion_provide_pens_pencils_juniorsec","proportion_natl_curriculum_primary","proportion_natl_curriculum_juniorsec","proportion_teachers_with_teacher_guide_primary","proportion_teachers_with_teacher_guide_juniorsec","proportion_schools_functioning_library_primary","proportion_schools_functioning_library_juniorsec","num_preprimary_level","num_preprimary_primary_level","num_primary_level","num_primary_js_level","num_js_level","num_js_ss_level","num_ss_level","num_primary_js_ss_level","num_other_level","student_teacher_ratio_lga","proportion_teachers_nce","number_classrooms_need_major_repair","classrooms_num_chalkboards","literacy_rate","gross_enrollment_ratio_primary_education","gross_enrollment_ratio_secondary_education","percentage_households_with_access_to_improved_water_sources","percentage_households_with_access_to_improved_sanitation","p_tested","p_births","num_level_1_health_facilities","num_level_2_health_facilities","num_level_3_health_facilities","num_level_4_health_facilities","num_level_other_health_facilities","num_health_facilities","proportion_health_facilities_inpatient_care","proportion_health_facilities_open_24_7","num_doctors","num_nursemidwives_midwives","num_nurses","num_chews","num_lab_techs","proportion_staff_paid","proportion_health_facilities_routine_immunization","proportion_growth_monitoring","proportion_deworming","proportion_no_user_fees_child_health","proportion_at_least_1_sba","proportion_antenatal","proportion_delivery_24_7","proportion_access_functional_emergency_transport","proportion_family_planning","proportion_delivery_no_user_fees","proportion_health_facilities_hiv_testing","proportion_malaria_testing","proportion_act_treatment_for_malaria","proportion_malaria_prevention_pregnancy","proportion_offer_bednets","proportion_no_user_fees_malaria","proportion_health_facilities_tb_treatment","proportion_health_facilities_tb_testing","proportion_any_power_access","proportion_improved_water_source","proportion_functional_sanitation","proportion_mobile_coverage","proportion_health_facilities_med_waste_separated","proportion_stockout_essential_meds","num_skilled_health_providers_per_1000","num_chews_per_1000","num_health_facilities_c_sections","X_lga_id","num_improved_water_points","num_taps","num_handpumps","num_unimproved_points","X_lga_id.1","percentage_functional_improved","percentage_functional_taps","X_lga_id.2","population_improved_water_points","population_improved_functional_water_points","percentage_population_improved","X_lga_id.3","num_diesel","percentage_diesel_functional","num_electric","percentage_electric_functional","num_solar","percentage_solar_functional","area_sq_km","zone","state","num_overhead_tanks"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4893617021277,0.123711340206186,0.123711340206186,36.0824742268041,28.8659793814433,2.941176,2.564103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,80,876,0.289156626506024,0.541176470588235,153.3375,0.511379516869635,5.4125,0.0216111000199641,1200,803,268,0.103114394090637,78.0487804878049,64,68,12,2,85,0.287878787878788,0.5,0.694915254237288,0.441176470588235,0.75,0.287878787878788,0.166666666666667,0.514705882352941,0.583333333333333,0.53030303030303,0.5,186.120879120879,182.294117647059,0.176470588235294,0.333333333333333,0.255700325732899,0.191588785046729,0.146579804560261,0.0560747663551402,0.367647058823529,0.5,0,0,0.411764705882353,0.5,0.0588235294117647,0.0833333333333333,27.5846905537459,14.481308411215,0.166666666666667,0.0833333333333333,0,0,0.242424242424242,0.333333333333333,0.924242424242424,0.916666666666667,2.27586670249933,1.10520684736091,76.6380090497738,14.6179245283019,22.4034391534392,9.22321428571429,0.00998243830298549,0.446808510638298,0.757936507936508,0.657738095238095,0.146825396825397,0.321428571428571,0.696969696969697,0.166666666666667,0,0,0.106217157702072,0.0861568247821878,0.318181818181818,0,0.257575757575758,0,0.909090909090909,0.916666666666667,0.803030303030303,0.666666666666667,0.166666666666667,0.166666666666667,6,15,46,1,10,2,2,0,3,17.2966666666667,0.669166666666667,198,NA,36.2962962962963,0.58,0.58,15,27,12.97468,8.641975,0,5,11,1,1,18,0.666666666666667,0.444444444444444,11,44,20,71,8,1,0.888888888888889,0.777777777777778,0.777777777777778,0.888888888888889,0.611111111111111,1,0,0.333333333333333,0.611111111111111,0.888888888888889,0.166666666666667,0.222222222222222,0.944444444444444,0.722222222222222,0.611111111111111,NA,0.111111111111111,0,0.277777777777778,0.444444444444444,0.611111111111111,0,0.833333333333333,0.611111111111111,37500,35500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,44,602,0.326086956521739,0.521739130434783,26.7272727272727,0.0244700020020911,72.0454545454545,0.0691833692968211,1057,763,209,0.478100428624145,28.2608695652174,13,38,6,0,46,0.342105263157895,0.333333333333333,0.421052631578947,0.473684210526316,0.333333333333333,0.289473684210526,0.5,0.5,0.5,0.379310344827586,0.666666666666667,275.970873786408,434.947368421053,0.0526315789473684,0.5,0.37012987012987,0.396396396396396,0.25974025974026,0.0720720720720721,0.105263157894737,0.166666666666667,0,0.166666666666667,0.105263157894737,0.333333333333333,0.0526315789473684,0.166666666666667,61.525974025974,148.900900900901,0.210526315789474,0,0,0,0.526315789473684,0.333333333333333,0.210526315789474,0.166666666666667,27.5436046511628,243.058823529412,11.1953525009846,28.9457092819615,37.6490066225166,86.5340314136126,39.7368421052632,3.29310344827586,0.826490066225166,0.586387434554974,0.20794701986755,0.267015706806283,0.5,0.666666666666667,0,0,0.682770449626332,0.0115434742133681,0.0789473684210526,0,0.0263157894736842,0,0.394736842105263,0.666666666666667,0.289473684210526,0.166666666666667,0.131578947368421,0,1,30,8,0,3,3,0,0,1,42.639545884579,0.721854304635762,236,182,85.6540084388186,1.19565217391304,1.19565217391304,89.0243902439024,48.780487804878,13.48315,50,2,2,8,0,0,12,0.666666666666667,0.8,2,40,8,27,3,1,1,0.636363636363636,NA,0.181818181818182,1,0.916666666666667,0.583333333333333,0.833333333333333,0.75,0.333333333333333,0.272727272727273,0.181818181818182,0.454545454545455,0.909090909090909,0.181818181818182,NA,0.25,0,0.545454545454545,0.666666666666667,0.875,0,0.363636363636364,1,16666.6666666667,9000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,49,676,0.411764705882353,0.509803921568627,119.270833333333,0.125288102217548,124.375,0.130770435677684,1026,645,399,0.885731414868105,47.0588235294118,24,41,8,0,51,0.463414634146341,0.5,0.512820512820513,0.675,0.5,0.365853658536585,0.75,0.48780487804878,0.625,0.541666666666667,0.4,255.466666666667,89.5,0.365853658536585,0.75,0.211072664359862,0.574712643678161,0.221453287197232,0.0689655172413793,0.317073170731707,0.125,0.146341463414634,0.125,0.365853658536585,0.625,0.219512195121951,0.125,73.5034602076125,34.9770114942529,0.146341463414634,0,0.24390243902439,0.125,0.292682926829268,0,0.425,0.625,8.70890840652447,3.72460220318237,8.49744950010202,3.22693531283139,52.0649509803922,15.4467005076142,9.71428571428571,3.19565217391304,0.662990196078431,0.487309644670051,0.414864864864865,0.431472081218274,0.341463414634146,0.375,0.024390243902439,0.375,0.912029554375433,0.62372658560631,0.024390243902439,0.125,0.024390243902439,0.125,0.707317073170732,0.625,0.51219512195122,0.25,0.195121951219512,0.375,2,27,8,0,0,8,0,6,0,44.5799220272905,0.628654970760234,177,379,76.3358778625954,1.20430107526882,1.20430107526882,62.6262626262626,12.1212121212121,22.8972,71.92982,2,3,5,1,13,24,0.625,0.888888888888889,31,26,37,57,13,1,0.888888888888889,0.333333333333333,NA,0.222222222222222,0.791666666666667,0.791666666666667,0.541666666666667,0.791666666666667,0.666666666666667,0.5,0.111111111111111,0.333333333333333,0.333333333333333,0.947368421052632,0.222222222222222,NA,0.0833333333333333,0,0.777777777777778,0.833333333333333,0.857142857142857,0.111111111111111,0.888888888888889,1,23500,14250,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,73,1034,0.701298701298701,0.701298701298701,72.027397260274,0.0747251748887072,129.904109589041,0.137760818872839,2018,958,1156,0.735971166653608,53.2467532467532,41,53,20,0,77,0.183673469387755,0.5,0.0638297872340425,0.346153846153846,0.75,0.679245283018868,0.75,0.622641509433962,0.85,0.225,0.35,412.722222222222,128.291666666667,0.339622641509434,0.55,0.210608424336973,0.230769230769231,0.241809672386895,0.20979020979021,0.30188679245283,0.5,0,0.1,0.60377358490566,0.35,0.39622641509434,0.5,72.4258970358814,53.2515151515152,0.0377358490566038,0,0.0188679245283019,0.05,0.207547169811321,0.35,0.392156862745098,0.25,18.9110417479516,7.40851602023609,7.79620395689239,6.09961818812912,35.4305555555556,31.047703180212,4.93478260869565,6.73809523809524,0.65345080763583,0.0865724381625442,0.675477239353891,0.358657243816254,0.288461538461538,0.3,0.02,0.05,0.883950880939669,0.328134196586227,0.0188679245283019,0,0.0377358490566038,0,0.584905660377358,0.9,0.490566037735849,0.65,0.358490566037736,0.95,2,41,1,1,1,19,0,10,2,33.9405351833499,0.476143141153081,217,492,90.1639344262295,1.09433962264151,1.09433962264151,96.8421052631579,49.4736842105263,38.21989,68.42105,2,2,5,1,0,10,0.6,0.833333333333333,4,36,13,56,3,0.111111111111111,0.888888888888889,0.888888888888889,NA,0.111111111111111,1,0.8,0.5,0.8,1,0.375,0.666666666666667,0.555555555555556,0.666666666666667,1,0.555555555555556,NA,0.2,0,0.666666666666667,0.5,0.8,0,0.555555555555556,1,10600,11200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,52,882,0.30188679245283,0.339622641509434,76.25,0.0821409522042624,108.384615384615,0.116254261264813,1006,447,541,1.72646676687132,30.188679245283,16,46,6,0,53,0.304347826086957,0.5,0.630434782608696,0.488888888888889,1,0.282608695652174,0.5,0.304347826086957,0.666666666666667,0.413793103448276,0.25,372.75,198.642857142857,0.0652173913043478,0.5,0.471861471861472,0.436170212765957,0.209235209235209,0.127659574468085,0.0652173913043478,0.166666666666667,0,0,0.217391304347826,0.333333333333333,0.0869565217391304,0.166666666666667,58.2106782106782,25.75,0.0652173913043478,0.333333333333333,0,0,0.347826086956522,0.666666666666667,0.130434782608696,0.166666666666667,17.8337754199823,2.17265625,8.31238409231403,17.38125,52.2538860103627,20.9097744360902,16.7826086956522,15.2,0.553108808290155,0.0833333333333333,0.666666666666667,0.192982456140351,0.826086956521739,0.333333333333333,0.347826086956522,0,1.84758963707914,0.0608793686583991,0.130434782608696,0,0,0,0.5,0.833333333333333,0.260869565217391,0.666666666666667,0.282608695652174,0.333333333333333,0,45,1,0,0,6,0,0,1,47.3666300768386,0.444333996023857,409,212,89.4941634241245,1.53333333333333,1.53333333333333,97.8947368421053,23.1578947368421,23.96313,81.13207,2,1,10,4,5,22,0.818181818181818,0.9375,23,235,56,83,23,0.5,0.875,0.375,NA,0.1875,0.772727272727273,0.772727272727273,0.681818181818182,0.909090909090909,0.818181818181818,0.230769230769231,0.5,0.4375,0.5,0.882352941176471,0.25,NA,0.5,0.25,0.75,0.857142857142857,0.6,0,0.625,1,52333.3333333333,13833.3333333333,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,143,1639,0.551020408163265,0.700680272108844,126.132867132867,0.310646374343692,136.853146853147,0.339630339151412,3012,1997,1596,2.50236603146182,67.3469387755102,99,110,33,0,147,0.357798165137615,0.393939393939394,0.4,0.688073394495413,0.96969696969697,0.527272727272727,0.606060606060606,0.690909090909091,0.696969696969697,0.44047619047619,0.703703703703704,96.9809264305177,136.671140939597,0.572727272727273,0.878787878787879,0.276247848537005,0.250574712643678,0.141996557659208,0.177011494252874,0.345454545454545,0.363636363636364,0.109090909090909,0.393939393939394,0.6,0.393939393939394,0.281818181818182,0.363636363636364,31.3420365535248,46.8137931034483,0.0363636363636364,0.0606060606060606,0,0,0.436363636363636,0.242424242424242,0.727272727272727,0.575757575757576,3.71219461911143,2.60675883256528,3.2234156820623,2.55347962382445,20.1409395973154,17.5551724137931,14.1968503937008,5.49763033175355,0.790904048807543,0.468103448275862,0.613422074320577,0.401724137931035,0.154545454545455,0.121212121212121,0.0363636363636364,0.0606060606060606,2.6598093648705,1.88419858870968,0.6,0.575757575757576,0.609090909090909,0.484848484848485,0.836363636363636,0.96969696969697,0.618181818181818,0.818181818181818,0.3,0.696969696969697,4,94,14,0,17,16,0,2,0,19.0186853520187,0.663014608233732,430,1408,76.25,1.64285714285714,1.64285714285714,67.816091954023,17.2413793103448,31.11111,37.5,1,19,14,1,30,65,0.815384615384615,0.967741935483871,61,94,82,39,14,1,0.964285714285714,0.642857142857143,NA,0.25,0.876923076923077,0.969230769230769,0.753846153846154,0.646153846153846,0.676923076923077,0.272727272727273,0.214285714285714,0.428571428571429,0.642857142857143,0.761904761904762,0.821428571428571,NA,0.153846153846154,0.107142857142857,0.642857142857143,0.5,0.842105263157895,0,0.821428571428571,1,33857.1428571429,5571.42857142857,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,110,1491,0.423423423423423,0.675675675675676,156.366972477064,0.348630992607155,170.302752293578,0.372980278921177,2663,1636,1870,1.71285555855289,69.3693693693694,77,76,34,1,111,0.157894736842105,0.0882352941176471,0.0921052631578947,0.513157894736842,0.588235294117647,0.342105263157895,0.617647058823529,0.618421052631579,0.794117647058823,0.515625,0.758620689655172,93.1617647058823,87.973544973545,0.460526315789474,1,0.282931354359926,0.375621890547264,0.161410018552876,0.194029850746269,0.276315789473684,0.441176470588235,0.105263157894737,0.323529411764706,0.697368421052632,0.617647058823529,0.368421052631579,0.5,30.1307977736549,49.5149253731343,0.0263157894736842,0.0294117647058824,0,0,0.289473684210526,0.0588235294117647,0.592105263157895,0.588235294117647,3.6009977827051,2.04272863568216,3.11180302739989,2.10289389067524,21.4113381674357,18.328729281768,8.42777777777778,3.05915492957746,0.744232036914964,0.411602209944751,0.742254449571523,0.631675874769797,0.0526315789473684,0,0.0131578947368421,0,1.72219306640324,1.40103092783505,0.578947368421053,0.5,0.5,0.411764705882353,0.828947368421053,0.911764705882353,0.657894736842105,0.794117647058823,0.355263157894737,0.676470588235294,0,73,0,1,28,6,1,2,0,19.942921517086,0.614344723995494,459,1008,81.0126582278481,1.05555555555556,1.05555555555556,70.9302325581395,47.6744186046512,23.91304,78.57143,5,9,7,2,38,61,0.819672131147541,0.957446808510638,118,122,201,31,23,0.833333333333333,0.75,0.333333333333333,NA,0.25,0.934426229508197,0.737704918032787,0.721311475409836,0.655737704918033,0.639344262295082,0.545454545454545,0.166666666666667,0.0833333333333333,0.583333333333333,0.911111111111111,0.333333333333333,NA,0.163934426229508,0.0833333333333333,0.666666666666667,1,1,0.0833333333333333,0.583333333333333,1,55125,3875,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,73,690,0.460526315789474,0.381578947368421,39.2328767123288,0.0488609583660644,73.3561643835616,0.0927336999214454,1210,666,703,0.68586109518653,32.8947368421053,25,54,19,0,76,0.296296296296296,0.421052631578947,0.403846153846154,0.240740740740741,0.263157894736842,0.5,0.315789473684211,0.333333333333333,0.473684210526316,0.272727272727273,0.5,796,141.190476190476,0.0925925925925926,0.315789473684211,0.373253493013972,0.257668711656442,0.297405189620758,0.325153374233129,0.203703703703704,0.315789473684211,0,0.0526315789473684,0.314814814814815,0.578947368421053,0.037037037037037,0.0526315789473684,97.3615560640732,32.8834355828221,0.222222222222222,0.0526315789473684,0.0740740740740741,0.210526315789474,0.666666666666667,0.210526315789474,0.294117647058824,0.5,34.9844479004666,4.93344425956739,14.5222724338283,3.65147783251232,61.4617486338798,19.0675241157556,4.33333333333333,6.09803921568627,0.645161290322581,0.379421221864952,0.642771804062127,0.459807073954984,0.211538461538462,0.157894736842105,0,0,0.715336976320583,0.480918608578183,0.0185185185185185,0,0.0185185185185185,0,0.481481481481481,0.631578947368421,0.240740740740741,0.473684210526316,0.0740740740740741,0.263157894736842,2,52,1,0,1,18,0,1,1,46.7918552036199,0.550413223140496,240,418,66.8122270742358,0.8625,0.8625,40.7407407407407,6.17283950617284,23.46939,56.41026,27,2,10,1,2,42,0.69047619047619,0.916666666666667,1,6,9,85,7,0.85,1,0.55,NA,0.925,0.214285714285714,0.904761904761905,0.285714285714286,1,0.738095238095238,0.3,0.525,0.1,0.475,0.789473684210526,0.1,NA,0.0714285714285714,0.05,0.7,0.970588235294118,0.8,0.15,0.825,1,1777.77777777778,9444.44444444445,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,90,1041,0.319587628865979,0.628865979381443,63.8777777777778,0.136716049382716,101.344444444444,0.209777777777778,1137,553,793,0.768272251308901,34.020618556701,33,70,20,2,97,0.0714285714285714,0.5,0.308823529411765,0.202898550724638,0.45,0.3,0.35,0.614285714285714,0.65,0.346153846153846,0.375,134.624338624339,87.5125,0.171428571428571,0.35,0.424929178470255,0.348148148148148,0.277620396600567,0.285185185185185,0.171428571428571,0.3,0.0428571428571429,0.05,0.257142857142857,0.2,0.0857142857142857,0.2,36.9348441926346,51.8592592592593,0.0714285714285714,0.05,0,0,0.5,0.45,0.130434782608696,0.3,7.78208516886931,6.56754221388368,5.01476154428463,4.35927770859278,38.570596797671,36.3688311688312,15.2666666666667,5.06578947368421,0.697234352256186,0.142857142857143,0.748180494905386,0.65974025974026,0.114285714285714,0.263157894736842,0,0,1.03097193049456,0.195755305867665,0.0285714285714286,0,0,0,0.714285714285714,0.8,0.3,0.35,0.128571428571429,0.45,3,66,2,0,4,16,2,2,2,37.9674582233949,0.48636763412489,419,320,78.4232365145228,1.45714285714286,1.45714285714286,98.9690721649485,75.2577319587629,54.54546,90.32258,2,4,9,3,17,35,0.828571428571429,0.935483870967742,30,85,100,34,28,0.666666666666667,0.916666666666667,0.333333333333333,NA,0.333333333333333,0.914285714285714,0.971428571428571,0.8,0.942857142857143,0.571428571428571,0.454545454545455,0.666666666666667,0.25,0.5,0.852941176470588,0.0833333333333333,NA,0.171428571428571,0,1,0.8,1,0,0.833333333333333,1,21500,3400,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
